image_path,slice_type,bandwidth,latency,reliability
network_dataset/images/eMBB_0.png,eMBB,high,medium,medium
network_dataset/images/eMBB_1.png,eMBB,high,medium,medium
network_dataset/images/eMBB_2.png,eMBB,high,medium,medium
network_dataset/images/eMBB_3.png,eMBB,high,medium,medium
network_dataset/images/eMBB_4.png,eMBB,high,medium,medium
network_dataset/images/eMBB_5.png,eMBB,high,medium,medium
network_dataset/images/eMBB_6.png,eMBB,high,medium,medium
network_dataset/images/eMBB_7.png,eMBB,high,medium,medium
network_dataset/images/eMBB_8.png,eMBB,high,medium,medium
network_dataset/images/eMBB_9.png,eMBB,high,medium,medium
network_dataset/images/eMBB_10.png,eMBB,high,medium,medium
network_dataset/images/eMBB_11.png,eMBB,high,medium,medium
network_dataset/images/eMBB_12.png,eMBB,high,medium,medium
network_dataset/images/eMBB_13.png,eMBB,high,medium,medium
network_dataset/images/eMBB_14.png,eMBB,high,medium,medium
network_dataset/images/eMBB_15.png,eMBB,high,medium,medium
network_dataset/images/eMBB_16.png,eMBB,high,medium,medium
network_dataset/images/eMBB_17.png,eMBB,high,medium,medium
network_dataset/images/eMBB_18.png,eMBB,high,medium,medium
network_dataset/images/eMBB_19.png,eMBB,high,medium,medium
network_dataset/images/eMBB_20.png,eMBB,high,medium,medium
network_dataset/images/eMBB_21.png,eMBB,high,medium,medium
network_dataset/images/eMBB_22.png,eMBB,high,medium,medium
network_dataset/images/eMBB_23.png,eMBB,high,medium,medium
network_dataset/images/eMBB_24.png,eMBB,high,medium,medium
network_dataset/images/eMBB_25.png,eMBB,high,medium,medium
network_dataset/images/eMBB_26.png,eMBB,high,medium,medium
network_dataset/images/eMBB_27.png,eMBB,high,medium,medium
network_dataset/images/eMBB_28.png,eMBB,high,medium,medium
network_dataset/images/eMBB_29.png,eMBB,high,medium,medium
network_dataset/images/eMBB_30.png,eMBB,high,medium,medium
network_dataset/images/eMBB_31.png,eMBB,high,medium,medium
network_dataset/images/eMBB_32.png,eMBB,high,medium,medium
network_dataset/images/eMBB_33.png,eMBB,high,medium,medium
network_dataset/images/eMBB_34.png,eMBB,high,medium,medium
network_dataset/images/eMBB_35.png,eMBB,high,medium,medium
network_dataset/images/eMBB_36.png,eMBB,high,medium,medium
network_dataset/images/eMBB_37.png,eMBB,high,medium,medium
network_dataset/images/eMBB_38.png,eMBB,high,medium,medium
network_dataset/images/eMBB_39.png,eMBB,high,medium,medium
network_dataset/images/eMBB_40.png,eMBB,high,medium,medium
